RID;Contra;Pro
1;0;0
2;0;3
3;3;2
4;0;3
5;0;0
6;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;4;0
14;1;2
15;0;0
16;1;0
17;0;0
18;0;0
21;0;1
24;0;0
25;0;0
26;1;0
27;1;2
28;0;0
30;0;0
34;0;0
35;1;0
36;1;0
37;1;1
38;1;1
39;0;0
40;0;0
41;0;0
43;0;0
44;0;1
46;1;0
47;0;0
48;0;1
49;0;0
50;0;1
52;0;3
53;0;0
54;0;0
55;0;0
56;1;1
59;0;0
60;0;0
61;1;0
62;3;1
66;1;0
67;0;4
69;1;2
71;0;0
72;0;0
73;0;0
74;0;1
75;0;1
76;0;1
77;0;0
78;0;1
79;0;1
80;0;0
81;0;1
82;0;0
83;0;1
84;6;0
85;1;3
87;3;0
88;3;1
89;2;1
90;2;1
91;4;2
92;0;1
93;2;2
94;1;2
95;0;0
96;0;1
97;0;1
98;0;1
99;0;2
100;1;1
101;0;1
102;0;2
103;0;3
104;0;2
105;0;1
106;1;2
107;0;1
108;0;0
110;1;2
111;0;0
112;0;1
113;1;1
114;1;1
115;0;2
116;0;2
117;0;2
118;1;0
119;0;2
120;1;3
121;0;0
122;0;2
123;0;1
124;1;1
125;0;2
126;0;3
127;2;1
128;1;1
129;0;0
130;1;3
131;0;1
132;0;2
133;2;1
134;1;0
135;2;1
137;1;1
138;0;2
139;0;3
140;1;2
141;0;1
142;1;1
143;0;1
144;0;0
145;0;1
147;1;1
148;0;0
149;0;0
150;1;0
151;0;1
153;0;1
154;0;0
155;0;0
156;0;0
157;0;0
158;0;0
159;0;0
161;0;1
162;0;1
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;2
171;0;1
172;0;0
173;0;0
174;0;2
175;0;0
176;0;4
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
